tenor,size,rfq_priority,original_issue_size,direction
20,1840899.20805525,3,3890167.2195969843,buy
5,1255111.5172973818,2,4542858.931288498,buy
7,29621516.588303473,3,37411659.71457971,sell
20,10502105.436744288,3,15920387.756277528,sell
3,15958573.58814127,1,19083138.659402143,buy
30,1083858.126934474,3,12036520.875567028,sell
7,44447541.66690807,1,46173363.20657057,sell
7,25959425.503112603,3,29095201.235370345,sell
20,2294868.3681130535,3,6487027.718524028,sell
2,2036644.2026830881,1,7991197.996572073,buy
