tenor,size,rfq_priority,original_issue_size,spread_from_market_mid,win,direction
20,4664176.125437244,2,11726128.041076772,-1.9714211236015524,1,sell
5,6373133.036061761,2,24938364.46265741,5.514004632717309,0,sell
7,28304167.673906386,1,37339704.96766342,4.806992433366606,0,buy
20,3781440.3431439744,3,5166691.718392618,-2.2225492499519968,1,buy
3,30026777.703241657,3,32093562.48796906,5.733420580354574,0,sell
30,1411684.8520364615,3,3770163.8094177516,-7.039937946390638,1,buy
7,20881286.120790526,3,23623514.570154633,3.813892308265272,0,sell
7,27539623.955042947,1,36672412.51893196,4.601963378232555,1,buy
20,2036585.9270147013,1,9218211.243385248,-1.5019773524542375,1,buy
2,5384505.810737344,1,7598430.335829539,7.408261983932244,0,buy
3,1910641.263718921,2,3213129.0294998493,6.414019679907625,0,sell
20,15867160.695505535,2,17822662.284472987,-2.221471989837295,1,sell
3,8119696.564422059,2,55156123.42353213,6.408327091718745,0,sell
3,12005916.238979299,1,18258322.84569533,6.5503257542607365,1,buy
30,2156877.4159803824,2,31914209.792141143,-7.088234892796796,1,sell
7,2289548.607833346,3,29959282.471404348,4.090379675646146,1,sell
5,1176258.328045381,2,8573271.375739507,5.601048466481035,0,buy
30,3525194.482163393,1,19397544.028853316,-6.588951277674901,1,buy
30,8932836.595335444,1,11058428.483239967,-6.749154021921627,1,sell
3,28681752.544546816,1,43458040.73311312,6.70264060438514,0,sell
10,13585941.127108362,1,16488447.819735248,3.1618469118903487,1,sell
7,5491933.798254449,3,31412742.33246418,4.002630337731109,0,sell
2,41621955.91462337,2,43009493.61100341,6.728517155641656,0,sell
30,16671551.623017438,2,37256008.58741324,-7.421816330830463,1,buy
5,38047206.78123086,1,39525599.47156991,5.719261193483684,0,sell
10,7876914.677638845,2,39290252.27159558,2.731195062524087,1,sell
10,2753408.1708580884,3,6040670.413633484,2.7467434499131738,1,sell
2,1229563.4803366982,1,14165405.345713753,7.652719894587568,0,buy
30,17123651.609171398,2,23857320.361234494,-7.079127662828188,1,buy
5,1607274.8720412694,2,5798471.695595218,5.555778012549041,0,sell
7,3268931.807832608,2,15759618.476223985,4.522542064031291,0,sell
1,8028827.010318024,2,48749328.92186131,7.265351094087892,0,sell
5,9097600.305361709,1,10272811.88734407,5.755219748709485,1,sell
2,10480278.817761814,1,46880451.21495328,7.229409088832853,1,buy
10,1916296.9983306734,3,12750861.566179538,2.855609081877294,1,sell
7,4417356.603528198,1,27946319.29411727,4.9259136377223856,1,sell
5,11183930.99278068,2,15673369.541211797,5.326293720368071,1,sell
1,44431723.58854928,2,50765271.51161972,7.11342566247362,0,buy
1,17227548.33867238,2,47160625.524278544,7.217506525145733,0,buy
3,36938232.38479155,3,42005971.58812857,5.722529625536256,0,buy
3,19723111.23248029,1,27820976.868215878,6.650885787571909,0,buy
20,10123003.364811523,1,11205210.937502502,-1.5611402634872809,1,buy
2,2119541.5973562426,1,3979285.976017687,7.524965476795101,0,sell
30,13573096.128079934,2,25881624.448139556,-7.303545001336478,1,buy
5,11457851.358193012,2,27982120.070161957,5.5867765649908545,1,sell
5,10557887.964257196,2,20326244.804377124,5.4419657415912415,1,sell
30,6794093.170600801,3,8545872.723836796,-7.396674174575331,1,sell
20,7909913.109111428,3,13621153.796604512,-2.5387939926936935,1,buy
10,3700051.9499533675,2,7711446.284055925,3.0790865643776373,0,buy
10,7625998.011079619,3,14578061.91974406,2.518842410713896,0,buy
20,2165915.7427087836,3,32272599.69947014,-2.4544616887028434,1,sell
10,23332815.630143303,3,44137700.258880585,2.362259316562705,1,sell
3,2068375.9221435334,1,3457354.806554663,6.863039914287498,0,buy
5,1394296.6306985212,3,33948616.13900318,5.27882450951103,1,buy
20,5510219.67689916,2,11841889.19618446,-2.0226152463707754,1,buy
5,13135439.042804036,1,31492344.51390792,5.613783926291428,1,sell
30,5542015.753502052,3,7271523.2681501,-7.45087367405997,1,sell
1,2952548.0138020124,2,16741534.802515334,7.5933934244068,0,buy
3,8878019.584309194,3,11398659.534240698,5.9138405035472505,0,sell
7,3886391.6046235245,2,9442823.488529813,4.537514805821324,0,sell
3,38451582.97464962,2,39519775.44042147,6.267509939536683,1,buy
20,36944212.77453771,3,38753810.01864919,-2.669371772569157,1,sell
7,7136982.849957437,3,8570629.07600536,3.967586173985386,1,sell
1,3606326.7289665374,1,6160898.792844624,8.048588526080787,1,sell
20,17879931.90772186,3,19358794.197648056,-2.566989267780854,1,buy
2,1154447.505720957,2,16135225.94266719,7.161061345501051,1,sell
5,6406462.675452289,1,7526771.927975724,5.7534595865454605,1,sell
1,3727377.322510722,2,14935234.31825322,7.560078412711721,0,buy
5,36640623.61947823,2,38374660.7151206,5.256214574784746,1,buy
10,1048076.0172639893,3,41394120.68481988,2.906206776655681,1,sell
2,8693925.049231557,2,47179576.4229178,6.929941489079351,0,sell
2,18128639.279416468,3,20544784.35197207,6.321506047918587,0,sell
1,6668543.866605563,2,17731809.897569425,7.4658017402300905,0,buy
2,1396680.8756768638,1,2512465.0510909595,7.462674245081788,0,buy
7,44893424.20000216,3,83183020.28556961,3.745526093611437,1,sell
2,7587246.340529269,1,15323661.17950388,7.469024222670146,0,buy
5,11053097.63229496,3,12237324.30267154,4.830742095263283,0,buy
5,2523439.6549107735,1,6341978.514686666,5.90268543920326,1,buy
20,6629011.062212761,3,7979729.818394613,-2.3954226377379566,1,buy
5,5359349.926236052,1,10010933.367717993,5.754871324871465,0,buy
20,1340435.0921871872,1,15086701.626659697,-1.2914649896779276,1,buy
5,1514827.7639580828,3,7800168.974773177,5.333916190585955,0,sell
7,26475287.829161566,3,30962043.959269494,3.8993014572040514,0,sell
30,2555329.4796446958,2,4149167.7335855104,-6.830106055580853,1,sell
20,2144017.1520527266,2,4751035.522942132,-2.046216231769577,1,buy
3,7208242.860990865,3,8687829.64007744,5.888888846986811,1,sell
10,20233840.262575813,3,43779785.17533459,2.4707618513793728,1,sell
1,1274222.5217948048,1,2971560.822040802,8.032141010409472,0,buy
5,9549471.869477028,1,19818314.32925655,5.746686640202885,0,sell
